time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:55.726583,2320,1631296375,726155042,,313,111,106,108
2021/09/10/13:52:55.742535,2321,1631296375,742132425,,314,111,98,107
2021/09/10/13:52:55.758881,2322,1631296375,758254528,,315,111,98,107
2021/09/10/13:52:55.784305,2323,1631296375,784053087,,316,111,98,107
2021/09/10/13:52:55.800435,2324,1631296375,800050020,,317,114,98,107
2021/09/10/13:52:55.826335,2325,1631296375,825972080,,318,114,98,107
2021/09/10/13:52:55.842447,2326,1631296375,841925859,,319,114,98,106
2021/09/10/13:52:55.858914,2327,1631296375,858135223,,320,114,101,102
2021/09/10/13:52:55.884341,2328,1631296375,883893728,,321,114,101,102
2021/09/10/13:52:55.900271,2329,1631296375,899864673,,322,107,101,102
2021/09/10/13:52:55.926175,2330,1631296375,925817966,,323,107,101,102
2021/09/10/13:52:55.942126,2331,1631296375,941770553,,324,107,101,102
2021/09/10/13:52:55.958437,2332,1631296375,957801103,,325,107,101,102
2021/09/10/13:52:55.984092,2333,1631296375,983736038,,326,107,105,98
2021/09/10/13:52:56.000157,2334,1631296375,999739170,,327,107,105,98
2021/09/10/13:52:56.025935,2335,1631296376,25569915,,328,100,105,98
2021/09/10/13:52:56.042054,2336,1631296376,41548728,,329,100,105,98
2021/09/10/13:52:56.058125,2337,1631296376,57644367,,330,100,105,98
2021/09/10/13:52:56.083998,2338,1631296376,83553552,,331,100,104,98
2021/09/10/13:52:56.100096,2339,1631296376,99528551,,332,100,100,97
2021/09/10/13:52:56.125957,2340,1631296376,125418186,,333,100,100,97
2021/09/10/13:52:56.141803,2341,1631296376,141436576,,334,104,100,97
2021/09/10/13:52:56.158142,2342,1631296376,157433271,,335,104,100,97
2021/09/10/13:52:56.184865,2343,1631296376,184440851,,336,104,100,97
2021/09/10/13:52:56.200758,2344,1631296376,200314760,,337,104,100,97
2021/09/10/13:52:56.226554,2345,1631296376,226241588,,338,104,98,100
2021/09/10/13:52:56.242573,2346,1631296376,242203950,,339,104,98,100
2021/09/10/13:52:56.259112,2347,1631296376,258381366,,340,104,98,100
2021/09/10/13:52:56.284602,2348,1631296376,284142017,,341,104,98,100
2021/09/10/13:52:56.300775,2349,1631296376,300163745,,342,104,98,100
2021/09/10/13:52:56.326424,2350,1631296376,326060771,,343,104,98,100
2021/09/10/13:52:56.342431,2351,1631296376,342075824,,344,104,101,98
2021/09/10/13:52:56.358751,2352,1631296376,358035802,,345,104,101,98
2021/09/10/13:52:56.384407,2353,1631296376,383992671,,346,104,101,98
2021/09/10/13:52:56.400433,2354,1631296376,400005102,,347,104,101,98
2021/09/10/13:52:56.426069,2355,1631296376,425819873,,348,104,101,98
2021/09/10/13:52:56.442202,2356,1631296376,441831588,,349,104,101,98
2021/09/10/13:52:56.458392,2357,1631296376,457872152,,350,104,92,95
2021/09/10/13:52:56.484280,2358,1631296376,483826398,,351,100,92,95
2021/09/10/13:52:56.500300,2359,1631296376,499742746,,352,100,92,95
2021/09/10/13:52:56.526108,2360,1631296376,525705814,,353,100,92,95
2021/09/10/13:52:56.542011,2361,1631296376,541635513,,354,100,92,95
2021/09/10/13:52:56.558374,2362,1631296376,557766437,,355,100,92,95
2021/09/10/13:52:56.583972,2363,1631296376,583626270,,356,100,97,95
2021/09/10/13:52:56.599948,2364,1631296376,599578380,,357,99,97,94
2021/09/10/13:52:56.625861,2365,1631296376,625538825,,358,98,97,94
2021/09/10/13:52:56.641915,2366,1631296376,641462087,,359,98,97,94
2021/09/10/13:52:56.658108,2367,1631296376,657577991,,360,98,97,94
2021/09/10/13:52:56.683799,2368,1631296376,683463096,,361,98,97,94
2021/09/10/13:52:56.700075,2369,1631296376,699420452,,362,98,96,94
2021/09/10/13:52:56.725935,2370,1631296376,725437879,,363,98,93,96
2021/09/10/13:52:56.741507,2371,1631296376,741315364,,364,100,93,96
2021/09/10/13:52:56.757901,2372,1631296376,757436275,,365,100,93,96
2021/09/10/13:52:56.784834,2373,1631296376,784344434,,366,100,93,96
2021/09/10/13:52:56.800740,2374,1631296376,800206661,,367,100,93,96
